sepal_length	sepal_width	petal_length	petal_width	class	sample_number
6.4	2.9	4.3	1.3	Iris-versicolor	sample75
6.6	3	4.4	1.4	Iris-versicolor	sample76
6.8	2.8	4.8	1.4	Iris-versicolor	sample77
6.7	3	5	1.7	Iris-versicolor	sample78
6	2.9	4.5	1.5	Iris-versicolor	sample79
5.7	2.6	3.5	1	Iris-versicolor	sample80
5.5	2.4	3.8	1.1	Iris-versicolor	sample81
5.5	2.4	3.7	1	Iris-versicolor	sample82
5.8	2.7	3.9	1.2	Iris-versicolor	sample83
6	2.7	5.1	1.6	Iris-versicolor	sample84
5.4	3	4.5	1.5	Iris-versicolor	sample85
6	3.4	4.5	1.6	Iris-versicolor	sample86
6.7	3.1	4.7	1.5	Iris-versicolor	sample87
6.3	2.3	4.4	1.3	Iris-versicolor	sample88
5.6	3	4.1	1.3	Iris-versicolor	sample89
5.5	2.5	4	1.3	Iris-versicolor	sample90
5.5	2.6	4.4	1.2	Iris-versicolor	sample91
6.1	3	4.6	1.4	Iris-versicolor	sample92
5.8	2.6	4	1.2	Iris-versicolor	sample93
5	2.3	3.3	1	Iris-versicolor	sample94
5.6	2.7	4.2	1.3	Iris-versicolor	sample95
5.7	3	4.2	1.2	Iris-versicolor	sample96
5.7	2.9	4.2	1.3	Iris-versicolor	sample97
6.2	2.9	4.3	1.3	Iris-versicolor	sample98
5.1	2.5	3	1.1	Iris-versicolor	sample99
5.7	2.8	4.1	1.3	Iris-versicolor	sample100
6.3	3.3	6	2.5	Iris-virginica	sample101
5.8	2.7	5.1	1.9	Iris-virginica	sample102
7.1	3	5.9	2.1	Iris-virginica	sample103
6.3	2.9	5.6	1.8	Iris-virginica	sample104
6.5	3	5.8	2.2	Iris-virginica	sample105
7.6	3	6.6	2.1	Iris-virginica	sample106
4.9	2.5	4.5	1.7	Iris-virginica	sample107
7.3	2.9	6.3	1.8	Iris-virginica	sample108
6.7	2.5	5.8	1.8	Iris-virginica	sample109
7.2	3.6	6.1	2.5	Iris-virginica	sample110
6.5	3.2	5.1	2	Iris-virginica	sample111
6.4	2.7	5.3	1.9	Iris-virginica	sample112
6.8	3	5.5	2.1	Iris-virginica	sample113
5.7	2.5	5	2	Iris-virginica	sample114
5.8	2.8	5.1	2.4	Iris-virginica	sample115
6.4	3.2	5.3	2.3	Iris-virginica	sample116
6.5	3	5.5	1.8	Iris-virginica	sample117
7.7	3.8	6.7	2.2	Iris-virginica	sample118
7.7	2.6	6.9	2.3	Iris-virginica	sample119
6	2.2	5	1.5	Iris-virginica	sample120
6.9	3.2	5.7	2.3	Iris-virginica	sample121
5.6	2.8	4.9	2	Iris-virginica	sample122
7.7	2.8	6.7	2	Iris-virginica	sample123
6.3	2.7	4.9	1.8	Iris-virginica	sample124
6.7	3.3	5.7	2.1	Iris-virginica	sample125
7.2	3.2	6	1.8	Iris-virginica	sample126
6.2	2.8	4.8	1.8	Iris-virginica	sample127
6.1	3	4.9	1.8	Iris-virginica	sample128
6.4	2.8	5.6	2.1	Iris-virginica	sample129
7.2	3	5.8	1.6	Iris-virginica	sample130
7.4	2.8	6.1	1.9	Iris-virginica	sample131
7.9	3.8	6.4	2	Iris-virginica	sample132
6.4	2.8	5.6	2.2	Iris-virginica	sample133
6.3	2.8	5.1	1.5	Iris-virginica	sample134
6.1	2.6	5.6	1.4	Iris-virginica	sample135
7.7	3	6.1	2.3	Iris-virginica	sample136
6.3	3.4	5.6	2.4	Iris-virginica	sample137
6.4	3.1	5.5	1.8	Iris-virginica	sample138
6	3	4.8	1.8	Iris-virginica	sample139
6.9	3.1	5.4	2.1	Iris-virginica	sample140
6.7	3.1	5.6	2.4	Iris-virginica	sample141
6.9	3.1	5.1	2.3	Iris-virginica	sample142
5.8	2.7	5.1	1.9	Iris-virginica	sample143
6.8	3.2	5.9	2.3	Iris-virginica	sample144
6.7	3.3	5.7	2.5	Iris-virginica	sample145
6.7	3	5.2	2.3	Iris-virginica	sample146
6.3	2.5	5	1.9	Iris-virginica	sample147
6.5	3	5.2	2	Iris-virginica	sample148
6.2	3.4	5.4	2.3	Iris-virginica	sample149
5.9	3	5.1	1.8	Iris-virginica	sample150
